Denominación_social,Domicilio_social,Latitud,Longitud,Fecha_constitución,CNAE,Objeto_social,Tamaño_empresa_por_facturación,Índice_crec_interanual_ventas,Tamaño_empresa_por_empleados,Empleo_fijo,Empleo_temporal,Teléfono,Estado,URL,Metatag_descripción,RRSS,Cotización_en_bolsa,Actividad_internacional,Capital_social,Empleados,Empleados_año,Resultado
Auto Chivani Sl.,"CALLE ZARAGOZA, S/N - NAV NUMERO 1 A",41.664264,-3.732117,01/10/2019,4520 - Mantenimiento y reparación de vehículos de motor,"Reparación, revisión y mantenimiento de vehículos automóviles, camiones, remolques, chasis y carrocerías. Comercialización de vehículos automóviles, accesorios y sus piezas de recambio. Servicios de transporte de mercancías en camiones o vehículos grúa. Adquirir bienes muebles o inmuebles",-,"Administrador Solidario:  JESUS M...
Administrador Solidario:  MARIA ASCENSION C...",-,-,-,-,Activa,-,-,-,NO,No constan,19.250 €,-,-,-
Lamielaranda Sl.,"CALLE MIEL, 16 - BJ",41.670923,-3.688931,01/10/2019,"4741 - Comercio al por menor de ordenadores, equipos periféricos y programas informáticos en establecimientos especializados","La promoción y venta al por menor de productos y servicios de telecomunicaciones y de la información y los accesorios a los mismos, así como promoción y venta al por menor de productos de la informática, videojuegos y sus accesorios. La intermediación en el comercio de productos diversos",-,Administrador Único:  JON G...,-,-,-,-,Activa,-,-,-,NO,No constan,3.500 €,-,-,-
Repostajes Ribereños Sl.,"CALLE VENDIMIA, 4",41.653841,-3.699576,24/07/2020,4730 - Comercio al por menor de combustible para la automoción en establecimientos especializados,Comercio al por menor de combustible para automoción en establecimientos especializados. La explotación de gasolineras,-,"Administrador Solidario:  LUIS CARLOS C...
Administrador Solidario:  FELIPE R...",-,-,-,-,Activa,-,-,-,NO,No constan,6.000 €,-,-,-
Dominio De Salvatierra Sl.,"CALLE BARRIONUEVO, 28",41.67179085,-3.68723503,21/08/2020,1102 - Elaboración de vinos,"La explotación industrial y comercial de los ramos de vinicultura, elaboración, crianza compraventa, exportación e importación de vinos y licores de todas clases y su comercialización. La explotación compraventa y adquisición, en todo o en parte y el arriendo de bodegas, almacenes, destilerías",-,Administrador Único:  MARIA V...,-,-,-,-,Activa,-,-,-,NO,Importa y Exporta,3.000 €,-,-,-
Kike Arnaiz Sl.,"PLAZA VIRGENCILLA, 5",41.67106018,-3.68494382,10/07/2020,7420 - Actividades de fotografía,"Realización de servicios de fotografía (stock, comercial, profesional, etc), ya sea de manera indirecta o mediante su contratación. Curso de fotografía y audiovisuales, ya sea de manera presencial o a través de redes sociales o canales digitales",-,Administrador Único:  ENRIQUE A...,-,-,-,-,Activa,-,-,-,NO,No constan,3.000 €,-,-,-
Delicias De Aqui Sl.,"CARRETERA VALLADOLID, 2 - BJ",41.67541,-3.69465,23/07/2020,"4711 - Comercio al por menor en establecimientos no especializados, con predominio en productos alimenticios, bebidas y tabaco","Comercio al por menor en establecimientos no especializados, con predominio en productos alimenticios y bebidas. El Comercio al por menor por correspondencia o internet. Turismo, hostelería y otros servicios de comida. Televisión. Publicidad. Agencia de Viaje. Convenciones. Depósito y almacenamiento",-,"Administrador Único: ASEMAR GLOBAL CONSULTING SL
Apoderado:  ISIDRO MARTIN D...",-,-,-,-,Activa,-,-,-,NO,No constan,3.000 €,-,-,-
Autos Vallecillo S.l.,"AVENIDA PORTUGAL, 84",41.66808651,-3.71112647,17/05/1995,4520 - Mantenimiento y reparación de vehículos de motor,"LA REPARACION DE TODO TIPO DE VEHICULOS A MOTOR, ASI COMO DE BICICLETAS Y CICLOMOTORES.",Menor de 300 mil €,"2005: 
2006: -11,39 %
2007: -11,23 %",Menos de 5,"2005: 100,00 %
2006: 50,00 %
2007: 100,00 %","2005: 0 %
2006: 50,00 %
2007: 0 %",947509920,Activa,-,-,-,NO,No constan,"3.005,06 €",2 (año 2007),2007,Negativo Consultar
Gimnasio Hiroshima Sl  (extinguida),"PLAZA LAGUNA NEGRA, 1",41.661046,-3.693098,09/08/1986,9319 - Otras actividades deportivas,-,Menor de 300 mil €,"2010: 
2011: -1,28 %
2012: 17,84 %",Menos de 5,"2008: 37,50 %
2009: 42,85 %
2010: 66,66 %
2011: 100,00 %
2012: 0 %","2008: 62,50 %
2009: 57,14 %
2010: 33,33 %
2011: 0 %
2012: 100,00 %",947507302,Extinguida,-,-,-,NO,No constan,"3.005,06 €",3 (año 2012),2012,Positivo Consultar
Samaniego Sun Power Sl.,"CARRETERA N-I, KM 163",41.688046,-3.685553,09/10/2020,3519 - Producción de energía eléctrica de otros tipos,"La compraventa, realización de proyectos, mantenimiento, promoción, intermediación, explotación y gestión de instalaciones solares fotovoltaicas, así como la producción, comercialización y venta de energía eléctrica procedente de dichas instalaciones",-,"Administrador Solidario:  JOSE MANUEL S...
Administrador Solidario:  MARIA ANGELES S...",-,-,-,-,Activa,-,-,-,NO,No constan,3.006 €,-,-,-
Camibasi Sl.,"CALLE VALLADOLID, 36",41.668527,-3.69965,08/10/2020,5610 - Restaurantes y puestos de comidas,"La explotación, gestión, comercialización y desarrollo de las actividades propias de hostelería y restauración en general, explotación de bares, cafeterías y restaurantes. Explotación de negocios de hospedaje y alojamiento de cualquier clase",-,"Administrador Único:  CAMELIA T...
Apoderado:  BASILIO B...",-,-,-,-,Activa,-,-,-,NO,No constan,3.000 €,-,-,-
Construcciones Rumaranda Sl.,"CALLE CAÑADAS, 1 - PISO 4 B",41.66929875,-3.68047612,19/10/2020,4121 - Construcción de edificios residenciales,"La construcción completa, realización de reformas y conservación de todo tipo de edificaciones",-,Administrador Único:  ION T...,-,-,-,-,Activa,-,-,-,NO,No constan,3.500 €,-,-,-
Deco-hogar Aranda Sl.,"CALLE BOTICAS, 13 - 3",41.671194,-3.688307,29/10/2020,4121 - Construcción de edificios residenciales,"Ejecución de toda clase de construcciones, eclifcaciones y obra pública y privada. Reparación, conservación, reformas, pavimentación. cimentaciones, instalaciones y montajes, carpintería y cerrajería. Promoción inmobiliaria",-,"Administrador Solidario:  FERNANDO C...
Administrador Solidario:  DAVID F...",-,-,-,-,Activa,-,-,-,NO,No constan,8.200 €,-,-,-
Bubble Crazy&more Sl.,"CAMINO MATARANDA, S/N",41.684461,-3.638406,30/09/2020,4634 - Comercio al por mayor de bebidas,"Importación, exportación y comercialización, al por mayor y al por menor, de bebidas alcohólicas y no alcohólicas",-,"Administrador Solidario:  ANGEL LUIS A...
Administrador Solidario:  HENRI JOSE I...",-,-,-,-,Activa,-,-,-,NO,Importa y Exporta,6.000 €,-,-,-
Aranfres Agricola Sl.,"CALLE SANTA CATALINA, 11 - PISO 2 A",41.673173,-3.67952607,17/09/2020,0161 - Actividades de apoyo a la agricultura,Actividades de apoyo a la agricultura,-,Administrador Único:  MARIA ARANZAZU G...,-,-,-,-,Activa,-,-,-,NO,No constan,3.100 €,-,-,-
Bodegas Vitulia Sl,CALLE SENDIN (P-49 POL IND ALLENDE),41.671922,-3.70435,24/02/2006,1102 - Elaboración de vinos,"ELABORACION Y CRIANZA DE VINOS. COMERCIALIZACION DE VINOS. COMPRAVENTA, EXPORTACION E IMPORTACION DE TODA CLASE DE VINOS Y BEBIDAS. EXPLOTACION DE VINEDOS. PRESTACION DE SERVICIOS AGRICOLAS A TERCEROS CON O SIN APORTACIO",Menor de 300 mil €,"2016: 
2017: 45,08 %
2018: -39,95 %",Menos de 5,"2013: 66,66 %
2014: 50,00 %
2016: 50,00 %
2017: 50,00 %
2018: 50,00 %","2013: 33,33 %
2014: 50,00 %
2016: 50,00 %
2017: 50,00 %
2018: 50,00 %",947515051,Activa,http://www.bodegasvitulia.com,"Bodegas Vitulia está situada en Aranda de Duero (Castilla y León, España), tierra de vinos, en el corazón de la Denominación de Orígen Ribera Del Duero.  -","https://www.facebook.com/bodegas.vitulia/?fref=ts, https://www.facebook.com/bodegas.vitulia/?fref=ts",NO,No constan,480.000 €,2 (año 2018),2018,Positivo Consultar
Contratas Duji Sl,"CALLE MONJES, 15",41.67558945,-3.68675022,28/02/2006,4339 - Otras actividades de acabado de edificios,"CONSTRUCCION, REPARACION Y CONSERVACION DE EDIFICACIONES Y TODO TIPO DE OBRAS. CONSOLIDACION Y PREPARACION DE TERRENOS, DEMOLICIONES, PERFORACIONES, CIMENTACIONES Y PAVIMENTACIONES. PREPARACION, INSTALACIONES Y MONTAJE D",-,"Administrador:  ANTONIO D...
Administrador:  JACOBO J...",-,-,-,-,Activa,-,-,-,NO,No constan,3.050 €,-,-,-
Construcciones J M R Promociones Y Mantenimiento De Inmuebles Sl,AVENIDA PORTUGAL (PG IND),41.664894,-3.739271,24/03/2006,4312 - Preparación de terrenos,"1. LA EJECUCION POR CUENTA PROPIA O POR TERCEROS DE OBRAS NUEVAS DE EDIFICACIONES URBANAS, INDUSTRIALES, URBANIZACIONES, SANEAMIENTOS, ABASTECIMIENTOS DE AGUA, MOVIMIENTOS DE TIERRA, ASI COMO TRABAJOS DE CONSERVACION Y R",-,Administrador Único:  MARIA ANGELES A...,-,-,-,-,Activa,-,-,-,NO,No constan,3.100 €,-,-,-
Transformados Alba Cuesta Sll.,CALLE BEMPOSTA (PG IND ),41.671731,-3.707238,17/06/2005,2512 - Fabricación de carpintería metálica,A) LA FABRICACION Y MONTAJE DE ESTRUCTURAS METALICAS. B) LA CARPINTERIA METALICA Y TRANSFORMADOS METALICOS EN GENERAL. C) OTRAS ACTIVIDADES RELACIONADAS CON PRODUCTOS METALICOS. D) LA COMPRA Y VENTA DE BIENES MUEBLES E I,-,"Administrador:  RICARDO A...
Administrador:  JULIO C...",-,-,-,947515312,Activa,-,-,-,NO,No constan,12.000 €,-,-,-
Distribuciones Jehu Penalba S.l.,"CALLE MARIA PACHECO (ANTES 6), 12 - 4 D",41.67442713,-3.68457926,29/03/2006,4634 - Comercio al por mayor de bebidas,Distribución de bebidas y alimentos para hostelería,"Entre 1,5 y 3 millones €","2014: 
2015: 4,79 %
2016: -17,45 %",Entre 5 y 25,"2012: 100,00 %
2013: 83,33 %
2014: 80,00 %
2015: 90,00 %
2016: 70,58 %","2012: 0 %
2013: 16,66 %
2014: 20,00 %
2015: 10,00 %
2016: 29,41 %",-,Activa,-,-,-,NO,Importa,68.120 €,14 (año 2017),2017,Negativo Consultar
Beworkline Sl.,"CALLE BURGO DE OSMA, 25 - BJ",41.66754305,-3.68862609,01/01/2020,"4322 - Fontanería, instalaciones de sistemas de calefacción y aire acondicionado","Fontanería. Instalaciones eléctricas y electricidad. Limpieza de edificios y locales comerciales. Limpieza industrial y de edificios. Lavandería y tintorería. Adquisición, almacenaje, comercialización y distribución, de toda clase de objetos de ferretería, papelería y limpieza. Copistería",-,Administrador Único:  IGNACIO B...,-,-,-,-,Activa,-,-,-,NO,No constan,3.000 €,-,-,-
Firma De Inversiones Castellanas Sl,"AVENIDA PORTUGAL (PG IND ALLENDEDUERO), 43",41.668691,-3.706222,27/05/2009,3516 - Producción de energía eléctrica de origen térmico convencional,"EXPLOTACION DE PLANTAS PARA LA GENERACION DE ELECTRICIDAD, MEDIANTE ENERGIAS RENOVABLES. PRODUCCION Y VENTA DE ENERGIA ALTERNATIVA A LA RED ELECTRICA, A TRAVES DE ENERGIA SOLAR, EOLICA Y BIOMASA. EXPLOTACION DE INSTALACI",-,"Administrador:  FERNANDO B...
Administrador:  JOSE IGNACIO B...",-,-,-,-,Activa,-,-,-,NO,No constan,3.006 €,-,-,Positivo Consultar
Seyja-oil Sl.,"CALLE HUESCA, 61",41.66470753,-3.7355715,26/02/2016,"4639 - Comercio al por mayor, no especializado, de productos alimenticios, bebidas y tabaco","-Comercio al por mayor, no especializado, de productos alimenticios, bebidas y tabaco. -Comercio al por mayor, de todo tipo de artículos de regalo. -Comercio al por mayor, de prendas exteriores de vestir. -Comercio al por mayor de productos para el automóvil y sus accesorios",-,Administrador Único: TSANKOVA SEVDELINA VASILEVA,-,-,-,-,Activa,-,-,-,NO,No constan,3.140 €,-,-,-
Talleres Cesar Pascual Sl  (extinguida),"CALLE SANTA ANA, 17 - 1 A",41.671721,-3.69094,18/04/2006,4520 - Mantenimiento y reparación de vehículos de motor,"REPARACION DE AUTOMOVILES Y DE TODA CLASE DE VEHICULOS, JUNTO CON SUS REMOLQUES Y ACCESORIOS. COMPRA Y VENTA DE TODO TIPO DE VEHICULOS, MAQUINARIA, ACCESORIOS Y PIEZAS DE RECAMBIO PARA DICHOS VEHICULOS",Menor de 300 mil €,"2007: 
2008: -38,88 %
2009: -24,97 %",Menos de 5,"2006: 100,00 %
2007: 50,00 %
2008: 50,00 %
2009: 100,00 %","2006: 0 %
2007: 50,00 %
2008: 50,00 %
2009: 0 %",947511966,Extinguida,-,-,-,NO,No constan,18.000 €,1 (año 2009),2009,Negativo Consultar
Blavecon Aranda Sl,"CALLE CHOPO, 20 - PISO 2 B",41.67373632,-3.69207809,03/04/2006,4121 - Construcción de edificios residenciales,"LA PROMOCION, CONSTRUCCION, COMPRAVENTA Y ALQUILER DE CONSTRUCCIONES Y EDIFICACIONES, EN SU TOTALIDAD, POR PARTES O POR PISOS Y LOCALES, BIEN PARA VIVIENDAS, GARAJES, NEGOCIOS, INDUSTRIAS U OTROS FINES, CONSTRUIDAS POR L",Menor de 300 mil €,"2013: 
2014: 94,32 %
2015: -63,79 %",-,Administrador Único:  DAVID V...,-,-,Activa,-,-,-,NO,No constan,124.000 €,-,-,Positivo Consultar
Sogecom Aranda S.l.,"AVENIDA MIRANDA DO DOURO, 1 - 5 B",41.66786,-3.68571,24/03/2006,4121 - Construcción de edificios residenciales,"LA EJECUCION POR CUENTA PROPIA O POR TERCEROS DE OBRAS NUEVAS DE EDIFICACIONES URBANAS, INDUSTRIALES, URBANIZACIONES, SANEAMIENTOS, ABASTECIMIENTOS DE AGUA, MOVIMIENTOS DE TIERRA, ASI COMO TRABAJOS DE CONSERVACION Y REPA",Menor de 300 mil €,2006: ,-,Administrador Único:  MARIO D...,-,-,Activa,-,-,-,NO,No constan,3.020 €,-,-,Negativo Consultar
Yulb Edificios Sl  (extinguida),"CALLE DON JULIAN Y DON ROMERO, 17",41.667411,-3.693237,17/04/2006,4110 - Promoción inmobiliaria,"LA EJECUCION DE OBRAS NUEVAS DE EDIFICACIONES URBANAS, INDUSTRIALES, URBANIZACIONES, SANEAMIENTOS, ABASTECIMIENTOS DE AGUAS; MOVIMIENTOS DE TIERRA, ASI COMO TRABAJOS DE CONSERVACION Y REPARACION Y LA COMPRAVENTA Y ARREND",-,-,-,-,-,-,Extinguida,-,-,-,NO,No constan,6.020 €,-,-,Positivo Consultar
Anaruis S.l.,"CALLE ERAS DE SAN GIL, 10",41.674055,-3.691638,14/03/2006,4121 - Construcción de edificios residenciales,"LA EJECUCION DE OBRAS NUEVAS DE EDIFICACIONES URBANAS, INDUSTRIALES, URBANIZACIONES, SANEAMIENTOS, ABASTECIMIENTOS DE AGUAS, MOVIMIENTOS DE TIERRA Y TODA CLASE DE OBRAS DE CONSTRUCCION. LA PROMOCION Y COMPRAVENTA DE CONS",-,Administrador Único:  FELIX B...,-,-,-,-,Activa,-,-,-,NO,No constan,3.006 €,-,-,Positivo Consultar
Ubacon Desarrollos Inmobiliarios Sl,"CALLE SAN GREGORIO, 1 - BJ",41.67082287,-3.68465178,19/04/2006,4110 - Promoción inmobiliaria,"LA EJECUCION DE OBRAS NUEVAS DE EDIFICACIONES URBANAS, INDUSTRIALES, URBANIZACIONES, SANEAMIENTOS, ABASTECIMIENTOS DE AGUA, MOVIMIENTOS DE TIERRA, ASI COMO TRABAJOS DE CONSERVACION.; LA PROMOCION Y COMPRAVENTA DE CONSTRU",Menor de 300 mil €,2012: ,-,"Administrador:  EDUARDO S...
 DIONISIO M...:  EDUARDO S...","Administrador: Administrador
 DIONISIO M...: Administrador",947514114,Activa,-,-,-,NO,No constan,90.000 €,-,-,Positivo Consultar
Suasemar S.l.,"CALLE SAN FRANCISCO, 13 - BJ",41.67267283,-3.68560144,16/05/2006,6820 - Alquiler de bienes inmobiliarios por cuenta propia,"URBANIZACION Y PARCELACION DE TERRENOS Y SOLARES, ASI COMO LA CONSTRUCCION DE EDIFICIOS E INSTALACIONES TANTO PARA SU VENTA COMO PARA SU ALQUILER. LA REHABILITACION DE EDIFICIOS Y EXPLOTACION DE INSTALACIONES INMOBILIARI",-,Administrador Único:  JOSE GREGORIO A...,-,-,-,-,Activa,-,-,-,NO,No constan,3.010 €,-,-,Negativo Consultar
Cancha-10 S.l.,"CALLE BEJAR, 7",41.670708,-3.688551,13/08/1999,5813 - Edición de periódicos,LA EDICION Y PUBLICACION DE PERIODICOS Y REVISTAS.,-,Administrador Único:  FRANCISCO JAVIER S...,-,-,-,-,Activa,-,-,-,NO,No constan,3.008 €,-,-,-
Elenebro Ingenieria Y Construccion Sostenible Sl.,"PLAZA SAN ESTEBAN, 7 - PISO 2 D",41.66811416,-3.68824887,29/12/2009,4110 - Promoción inmobiliaria,"Realizacion de Gestion de Proyectos, Ingenieria, Direccion de Obra, Seguridad y Salud Laboral, Control de Calidad, Mantenimientos y Conservacion, Inspeccion Tecnica de Edificios en Demolicion, Promocion, Construccion, Edificacion, Urbanizacion, Reciclaje de Materiales, Instalaciones y Medio Ambiente.",Menor de 300 mil €,"2012: 
2013: 24,47 %
2014: -61,68 %",-,"Administrador:  MOISES ANGEL G...
 JUAN L...:  MOISES ANGEL G...","Administrador: Administrador
 JUAN L...: Administrador",-,Activa,-,-,-,NO,No constan,3.012 €,-,-,Positivo Consultar
Autoescuela Cilleruelo Sl.  (extinguida),"PLAZA CORAZON DE MARIA, 7 - PISO 1 . OFIC 6",41.66931,-3.685785,21/01/2010,8553 - Actividades de las escuelas de conducción y pilotaje,La Escuela de Enseñanza de conduccion de vehiculos terrestres.,Menor de 300 mil €,"2014: 
2015: -5,91 %
2016: -5,82 %",Entre 5 y 25,"2012: 100,00 %
2013: 100,00 %
2014: 100,00 %
2015: 75,00 %
2016: 80,00 %","2012: 0 %
2013: 0 %
2014: 0 %
2015: 25,00 %
2016: 20,00 %",-,Extinguida,-,-,-,NO,No constan,42.000 €,5 (año 2016),2016,Negativo Consultar
Geinsports Actividades Deportivas Sl.,"AVENIDA CASTILLA, 66 - 5 A",41.66176169,-3.69206703,27/11/2019,8230 - Organización de convenciones y ferias de muestras,"Gestión y organización de eventos. Actividades de hostelería, cafetería y restauración. Servicios de publicidad. Comercio de ropa y material deportivo. Actividades formativas relacionadas con actividades deportivas",-,Administrador Único:  JORGE C...,-,-,-,-,Activa,-,-,-,NO,No constan,8.000 €,-,-,-
Gastroaranda Sl.,"CALLE POSTAS, 16 - PISO 2 C",41.66984512,-3.68669689,14/01/2016,0146 - Explotación de ganado porcino,"La cría y engorde de ganado porcino en régimen intensivo y extensivo. Comercialización de todo tipo de ganado, embriones y semen, así como todo tipo de servicios relacionados con la Ganadería, la Agricultura y la Industria Agroalimentaria.",-,"2018: 66,66 %
33,33 %: 2019
100,00 %: 0 %",Menos de 5,"Administrador Único:  VERONICA G...
 CARLOS JOSE M...:  VERONICA G...","Administrador Único: Apoderado
 CARLOS JOSE M...: Apoderado",-,Activa,-,-,-,NO,No constan,69.828 €,1 (año 2019),2019,Negativo Consultar
Quesos Roinver Sl.,"CALLE BAJADA AL MOLINO, 15 - PISO 1 C",41.66921918,-3.68411318,15/01/2016,"4633 - Comercio al por mayor de productos lácteos, huevos, aceites y grasas comestibles","Comercio, publicidad, promoción, transporte, distribución e intermediación de todo tipo de productos alimenticios incluyendo quesos y otros productos lácteos",-,Administrador Único:  ROBERTO L...,-,-,-,-,Activa,-,-,-,NO,No constan,3.000 €,-,-,-
Hotel Puerta Del Duero Sl,"PLAZA JARDINES DE DON DIEGO, 9 - BJ",41.67050775,-3.68556318,27/11/2009,5510 - Hoteles y alojamientos similares,Servicio de hospedaje o alojamiento y servicios prestados de alimentacion propios de la restauracion.,-,"Administrador:  JOSE LUIS U...
Administrador:  JESUS U...",-,-,-,-,Activa,-,-,-,NO,No constan,93.410 €,-,-,Positivo Consultar
Las Casas De Moises Sl.,"CALLE MORATIN, 10 - PISO 1 C",41.67416536,-3.68368225,21/01/2010,5610 - Restaurantes y puestos de comidas,El negocio de la Hosteleria y Restauracion y de Centro de Turismo Rural. La compra y venta de bienes inmuebles.,-,"Administrador:  JOSE MANUEL P...
Administrador:  LAURA V...",-,-,-,-,Activa,-,-,-,NO,No constan,3.100 €,-,-,-
Spanish Cellar Sociedad Limitada.,CARRETERA ARANDA (KM 9),41.679609,-3.704863,23/01/2014,6810 - Compraventa de bienes inmobiliarios por cuenta propia,"La compraventa y explotación de todo tipo de fincas rústicas y la comercialización de productos agrarios, incluida su exportación a terceros países. (CNAE 4110, 4312, 4399, 4631, 4638, 6810). B) Todas las actividades integrantes del objeto social se realizarán por los profesionales que corresponda y",-,"Administrador Solidario:  LANG S...
Administrador Solidario:  LANG W...",-,-,-,-,Activa,-,-,-,NO,Importa y Exporta,3.803.000 €,-,-,Negativo Consultar
Cafe Siglo Xxi 2015 Sl.,"CARRETERA ESTACION, 47 - BJ",41.66629992,-3.68926961,14/04/2016,5610 - Restaurantes y puestos de comidas,"Explotación de bares, cafeterías y restaurantes. Hostelería",-,-,-,-,-,-,Activa,-,-,-,NO,No constan,3.010 €,-,-,-
Top Aranda Sl.,"CALLE BOTICAS, 3 - BJ",41.67119383,-3.68853453,18/03/2016,4751 - Comercio al por menor de textiles en establecimientos especializados,"Comercio al por menor de prendas de vestir, de calzado y artículos de cuero, de relojería, joyería y de artículos de segunda mano en establecimientos especializados. Fabricación de tejidos textiles. Confección de prendas de vestir. Comercio al por mayor de prendas de vestir y calzado",-,Administrador Único:  MARIA JOSE A...,-,-,-,-,Activa,-,-,-,NO,No constan,9.350 €,-,-,-
Barrienco Sl.  (extinguida),"PLAZA SANTIAGO, 1 - PISO 5 A",41.672302,-3.680882,12/03/2010,4121 - Construcción de edificios residenciales,"a) La construccion completa, reparacion y conservacion de todo tipo de obras y edificaciones. b) La prestacion de servicios de asistencia y mantenimiento integral de viviendas, comunidades, locales comerciales, centros publicos y privados. c) Las actividades inmobiliarias en general.",-,-,-,-,-,-,Extinguida,-,-,-,NO,No constan,6.000 €,-,-,-
Estilo Nuevo De Aranda Sl.,"CALLE FUENTECILLA, 10",0,0,05/01/2010,4334 - Pintura y acristalamiento,"La realizacion por cuenta propia o ajena de trabajos y obras de pintura, en toda clase de inmuebles. Fabricacion y comercializacion en nombre propio o ajeno, en comision, deposito o por delegacion o representacion de materiales y productos relacionados con la pintura y la decoracion.",-,Administrador Único:  FRANCA R...,-,-,-,-,Activa,-,-,-,NO,No constan,3.010 €,-,-,-
2 Mikes Investment Properties Sl.,"CALLE MONJES, 2 - BIS PISO 2 B",41.67490413,-3.68778691,07/04/2016,6810 - Compraventa de bienes inmobiliarios por cuenta propia,"Adquisición, construcción, venta, enajenación y arrendamiento de inmuebles, cualesquiera que sea su uso, destino o naturaleza, ya se trate de terrenos, de edificaciones de todo tipo y aprovechamiento, naves, viviendas, oficinas, aparcamientos, tanto subterráneo como en superficie, y su explotación.",-,"Administrador Solidario:  MIGUEL C...
Administrador Solidario:  MIGUEL R...",-,-,-,-,Activa,-,-,-,NO,No constan,3.400 €,-,-,-
Portugal Estilistas Sl,"PLAZA CONSTITUCION, 5 - PISO 1",41.67102132,-3.6857194,19/07/2010,9602 - Peluquería y otros tratamientos de belleza,"Las actividades de peluquería, estética, fisioterapia y dietética",Menor de 300 mil €,"2016: 
2017: -18,38 %
2018: -18,05 %",Menos de 5,"2015: 100,00 %
2016: 100,00 %
2017: 66,66 %
2018: 66,66 %","2015: 0 %
2016: 0 %
2017: 33,33 %
2018: 33,33 %",947512819,Activa,-,-,-,NO,No constan,4.000 €,3 (año 2018),2018,Negativo Consultar
Limpiezas Puente De La Ribera Sl,"CALLE DURATON, 1 - PISO 1 B",41.66190953,-3.69426676,28/09/2010,8121 - Limpieza general de edificios,"Los servicios de limpieza de todo tipo de inmuebles, maquinaria, instalaciones y elementos de locomoción, los servicios de jardinería y la comercialización de productos de limpieza y jardinería",-,Administrador Único:  MARTA P...,-,-,-,-,Activa,-,-,-,NO,No constan,3.006 €,-,-,-
Conhorcon S.l.,"GLORIETA ROSALES, 2",41.665801,-3.690839,15/01/1999,4110 - Promoción inmobiliaria,"LA PRESTACION DE SERVICIOS TECNICOS DE LA CONSTRUCCION CONSTRUCCION, EDIFICACION, REPARACION, REHABILITACION, PROMOCION, URBANIZACION Y ADMINISTRACION DE BIENES INMUEBLES DE CUALQUIER CLASE.",-,Administrador Único:  GERARDO M...,Menos de 5,-,-,947510876,Activa,-,-,-,NO,No constan,3.006 €,1 (año 2002),2002,-
Trespiedras Rural Sl.,"CALLE ARLANZON, 2 - PISO 4 E",41.66229404,-3.69396686,04/10/2018,"0111 - Cultivo de cereales (excepto arroz), leguminosas y semillas oleaginosas","Cultivo de cereales, leguminosas y semillas oleaginosas. Cultivo de la vid. Actividades de apoyo a la agricultura",-,Administrador Único:  JUAN RAMON A...,-,-,-,-,Activa,-,-,-,NO,No constan,3.000 €,-,-,-
El Tio De La Torta Sl.,"CALLE BAJADA AL MOLINO, 11",41.669223,-3.684619,16/10/2018,1071 - Fabricación de pan y de productos frescos de panadería y pastelería,"La fabricación, distribución y comercialización de todo tipo de pan, incluido los especiales, bollería y pastelería, así como cualquier tipo de producto de alimentación",-,Administrador Único:  DANIEL A...,-,-,-,-,Activa,-,-,-,NO,No constan,4.500 €,-,-,-
Sampil Aranda Sl.,"CALLE LA SAL, 3 - BJ",41.67070109,-3.68962753,13/03/2018,4643 - Comercio al por mayor de aparatos electrodomésticos,Comercio de aparatos electrodomésticos y ferretería. Cerrajería. CNAE número 4643,Menor de 300 mil €,2018: ,Menos de 5,"2018: 100,00 %",2018: 0 %,-,Activa,-,-,-,NO,No constan,3.000 €,1 (año 2018),2018,Positivo Consultar
Brokisa Brokers Sl.,"CALLE MIEL, 11",41.67109784,-3.68901493,01/04/2018,6831 - Agentes de la propiedad inmobiliaria,"Compraventa, administración, gestión y arrendamiento de inmuebles, de automóviles y otros vehículos a motor. Comercio de combustibles. Inversión colectiva y operaciones con valores. Producción de energía eléctrica. Cultivo de la vid. Fabricación de neumáticos. Extracción de piedra",-,Administrador Único:  JUAN CARLOS D...,-,-,-,-,Activa,-,-,-,NO,No constan,3.000 €,-,-,-
Elysium Sons Sl.,"AVENIDA MIRANDA DO DOURO, 4 - BJ",41.6681129,-3.68760124,30/01/2018,6420 - Actividades de las sociedades holding,"La dirección, gestión, y administración de las sociedades participadas y sus participaciones.La adquisición, tenencia, disfrute, administración, disposición, enajenación, custodia o depósito y rentabilización, ya sea por su administración o venta, de acciones, obligaciones",-,"Presidente:  JOSE ANTONIO C...
Consejero Delegado:  MERCEDES C...",-,-,-,-,Activa,-,-,-,NO,No constan,10.748.423 €,-,-,-
La Despensa Del Alfoz Sl.,"AVENIDA CASTILLA, 69 - PISO 3 H",41.66087961,-3.69149477,05/04/2018,"4711 - Comercio al por menor en establecimientos no especializados, con predominio en productos alimenticios, bebidas y tabaco","Comercio al por menor de alimentos y Bebidas, tabaco, combustible, de textiles, ferretería, pintura, electrodomésticos, muebles, y otros artículos de uso doméstico, artículos deportivos, juguetes, cosméticos, plantas, semillas, fertilizantes, animales de compañía, en establecimientos especializados",-,"Administrador Solidario:  SANDRA R...
Administrador Solidario:  MARIA JOSE F...",-,-,-,-,Activa,-,-,-,NO,No constan,3.100 €,-,-,-
