"Denominación_social";"Domicilio_social";"Latitud";"Longitud";"Fecha_constitución";"CNAE";"Objeto_social";"Tamaño_empresa_por_facturación";"Índice_crec_interanual_ventas";"Tamaño_empresa_por_empleados";"Empleo_fijo";"Empleo_temporal";"Teléfono";"Estado";"URL";"Metatag_descripción";"RRSS";"Cotización_en_bolsa";"Actividad_internacional";"Capital_social";"Empleados";"Empleados_año";"Resultado";"stringasfactor"
"Agro Repuestos Aranda Sl.";"AVENIDA LUIS MATEOS, 92";41,664767;-3,704617;"07/12/2017";"4661 - Comercio al por mayor de maquinaria, equipos y suministros agrícolas";"Comercio al por mayor de maquinaria agrícola y de productos agricolas. Comercio al por menor de productos de droguería, perfumería, cosmética, limpieza, pinturas, barnices, disolventes, papeles y otros productos para la decoración y de productos químicos. Explotacion de ganaderia independiente";"-";"Administrador Único:  ROBERTO R...";"-";"-";"-";"-";"Activa";"-";"-";"-";"NO";"No constan";"57.036 €";"-";"-";"-";FALSE
"Bodega J. Agricola Viñas Sl.";"CALLE PADRE JANARIZ, 21";41,67352431;-3,69140757;"02/05/2019";"1102 - Elaboración de vinos";"Compraventa de todo tipo de productos alimenticios y bebidas alcohólicas y no alcohólicas. Elaboración y crianza de vino, embotellado y venta de vinos, mostos y derivados. Explotaciones agrícolas. Prestaciones de servicios agrícolas a terceros. Intermediación del comercio. Actividades inmobiliarias";"-";"Administrador Único:  ROSA MARIA A...";"-";"-";"-";"-";"Activa";"-";"-";"-";"NO";"No constan";"3.000 €";"-";"-";"-";FALSE
"Escuela21, Innovacion, Aprendizaje Y Tecnologia Sl.";"CALLE SAN ESTEBAN, 9 - PISO 4 D";41,6679;-3,688193;"28/07/2020";"8559 - Otra educación n.c.o.p.";"Especialistas en orientación y análisis profesional. Profesores de formación y perfeccionamiento profesional";"-";"Administrador Único:  ALFREDO H...
Apoderado:  CARMELO H...";"-";"-";"-";"-";"Activa";"-";"-";"-";"NO";"No constan";"5.000 €";"-";"-";"-";FALSE
"Teserman S.l.";"CALLE FUENTEMINAYA, 27";41,67414878;-3,68733279;"03/01/1996";"4322 - Fontanería, instalaciones de sistemas de calefacción y aire acondicionado";"LA INSTALACION, MANTENIMIENTO Y REPARACION DE FONTANERIA, CALEFACCION Y GAS.";"Menor de 300 mil €";"2005: 
2006: -4,14 %
2007: -92,36 %";"Menos de 5";"2003: 100,00 %
2004: 100,00 %
2005: 100,00 %
2006: 100,00 %";"2003: 0 %
2004: 0 %
2005: 0 %
2006: 0 %";"947509850";"Activa";"-";"-";"-";"NO";"No constan";"36.060,73 €";"2 (año 2006)";"2006";"Negativo Consultar";FALSE
"Productos Torrelinar, Sl";"BARRIO POLIGONO DE GRANDA (POL IND. LOS ROBLES), 7";0;0;"20/10/1993";"4639 - Comercio al por mayor, no especializado, de productos alimenticios, bebidas y tabaco";"COMPRA Y POSTERIOR COMERCIALIZACION DE TODA CLASE DE PRODUCTOS ALIMENTICIOS, EN TODO EL TERRITORIO ESPANOL.";"-";"Administrador:  OVIDIO A...
Administrador:  CESAR G...
Gerente:  CESAR G...";"-";"-";"-";"-";"Activa";"-";"-";"-";"NO";"No constan";"6.010 €";"-";"-";"Negativo Consultar";FALSE
"Benitor España Sl";"CALLE CARREQUEMADA, 14 - 1 B";41,67152439;-3,68449623;"24/01/1994";"4642 - Comercio al por mayor de prendas de vestir y calzado";"COMPRAVENTA, FABRICAC. Y COMERCIO DE PRENDAS Y ROPAS DE VESTIR DE CABALLERO, SENORA Y NINOS, Y DE TODO TIPO DE CALZADOS.";"Menor de 300 mil €";"2007: 
2008: 180,34 %
2009: -74,78 %";"-";"Administrador Único:  MARCELO B...";"-";"947501392";"Activa";"-";"-";"-";"NO";"No constan";"6.010,12 €";"-";"-";"Negativo Consultar";FALSE
"Rodavideo Sl";"CALLE SANTA MARGARITA, 3";41,671687;-3,689671;"13/08/1999";"5610 - Restaurantes y puestos de comidas";"ALQUILER Y VENTA DE CINTAS DE VIDEO, PRODUCTORAS DE VIDEOS, LUDOTECA, ENSENANZA EN GENERAL TRADUCTORES, COMERCIO DE MUSICA GRAVADA, TELEFONIA MOVIL COMERCIO DE ALIMENTACION EN GENERAL COMERCIO DE ROPA DE CONFECCION, HOST";"-";"2001: 100,00 %
0 %: 2002
100,00 %: 0 %
2003: 0 %
100,00 %: 2004
0 %: 100,00 %
2005: 0 %
100,00 %: 100,00 %";"Menos de 5";"Administrador Único:  DAVID L...";"-";"-";"Activa";"-";"-";"-";"NO";"No constan";"6.012 €";"1 (año 2005)";"2005";"Negativo Consultar";FALSE
"Limpiezas Y Mantenimiento Jaspe Sl";"CALLE ROSALES, 19 - BJ";41,66604838;-3,69341036;"11/11/1999";"8121 - Limpieza general de edificios";"EL SERVICIO DE LIMPIEZA Y MANTENIMIENTO EN GENERAL. LAVANDERIA. CONSTRUCCION. FONTANERIA, PINTURA. JARDINERIA. HOSTELERIA Y PANADERIA.";"Entre 300 y 600 mil €";"2009: 
2011: -3,62 %
2012: -8,16 %";"Entre 5 y 25";"2007: 38,09 %
2008: 50,00 %
2009: 66,66 %
2011: 80,00 %
2012: 100,00 %";"2007: 61,90 %
2008: 50,00 %
2009: 33,33 %
2011: 20,00 %
2012: 0 %";"947507730";"Activa";"-";"-";"-";"NO";"No constan";"9.030 €";"14 (año 2012)";"2012";"Positivo Consultar";FALSE
"Construcciones Romaranda S.l. (extinguida)";"CALLE SAN ANTONIO, 51 - 1 B";41,673301;-3,687083;"11/05/1998";"4121 - Construcción de edificios residenciales";"A) CONSTRUCCION COMPLETA, REPARACION Y CONSERVACION DE EDIFICACIONES Y OBRAS CIVILES. B) ACTIVIDADES INMOBILIARIAS. E) PRESTACION DE SERVICIOS A LA AGRICULTURA Y GANADERIA. CON O SIN MAQUINARIA, COMO PREPARACION DE CULTI";"Menor de 300 mil €";"2006: 
2007: 15,73 %
2008: 2,4 %";"Menos de 5";"2004: 100,00 %
2005: 100,00 %
2006: 100,00 %
2007: 100,00 %
2008: 100,00 %";"2004: 0 %
2005: 0 %
2006: 0 %
2007: 0 %
2008: 0 %";"-";"Extinguida";"-";"-";"-";"NO";"No constan";"3.005,06 €";"2 (año 2008)";"2008";"Positivo Consultar";FALSE
"Alejandro Tobes Sl  (extinguida)";"AVENIDA PORTUGAL (PARCELA), 10 - TERCERA FASE";41,667109;-3,719767;"28/11/1994";"4333 - Revestimiento de suelos y paredes";"A) LA REALIZACION DE TRABAJOS DE TERMINACION Y DECORACION DE EDIFICIOS Y LOCALES, INCLUYENDO SOLADOS Y REVESTIMIENTOS INTERIORES Y EXTERIORES DE TODAS CLASES EN TODO TIPO DE OBRAS Y EDIFICACIONES. B) LA CONSTRUCCION COMP";"Entre 1,5 y 3 millones €";"2007: 
2008: 20,4 %
2009: -36,04 %";"Entre 5 y 25";"2005: 69,23 %
2006: 75,00 %
2007: 56,52 %
2008: 56,25 %
2009: 81,48 %";"2005: 30,76 %
2006: 25,00 %
2007: 43,47 %
2008: 43,75 %
2009: 18,51 %";"947505568";"Extinguida";"-";"-";"-";"NO";"No constan";"254.828,95 €";"16 (año 2010)";"2010";"Negativo Consultar";FALSE
"Ribergres 88 Sl";"AVENIDA CASTILLA, 88";41,65747734;-3,69244569;"17/07/1995";"4754 - Comercio al por menor de aparatos electrodomésticos en establecimientos especializados";"LA INSTALACION DE TODO TIPO DE SOLADOS Y PAVIMENTOS DE TODO TIPO INSTALACIONES FONTANERIA CALEFACCION Y GAS EN VIVIENDAS Y EDIFICIOS INDUSTRIALES, COMPRAVENTA MOBILIARIO COCINA, ELECTRODOMESTICOS, COMPLEMENTOS PARA EL HO";"Menor de 300 mil €";"2007: 
2008: 3,32 %
2009: -14,5 %";"Menos de 5";"2005: 100,00 %
2006: 100,00 %
2007: 100,00 %
2008: 100,00 %
2009: 100,00 %";"2005: 0 %
2006: 0 %
2007: 0 %
2008: 0 %
2009: 0 %";"947504737";"Activa";"-";"-";"-";"NO";"No constan";"3.005,06 €";"2 (año 2009)";"2009";"Positivo Consultar";FALSE
"Promotora Burmil-95 Sl";"AVENIDA CASTILLA, 67 - BJ";41,66113294;-3,69147144;"20/07/1995";"4110 - Promoción inmobiliaria";"CONSTRUCCION COMPLETA, REPARACION Y CONSERVACION DE EDIFICACIONES, Y OBRAS CIVILES. COMPRA Y VENTA DE EDIFICACIONES Y TERRENOS, ASI COMO LA URBANIZACION Y PARCELACION DE LOS MISMOS. PROMOCION EDIFICACIONES, ASI SU ALQUIL";"-";"Administrador:  RAMON M...
Administrador:  MARCO ANTONIO R...";"-";"-";"-";"947511933";"Activa";"-";"-";"-";"NO";"No constan";"36.060,73 €";"-";"-";"Negativo Consultar";FALSE
"Transveypa Sl.";"AVENIDA PORTUGAL (POL INDUSTRIAL ALLENDE DUE), 91";41,66853651;-3,70759728;"31/10/1992";"4941 - Transporte de mercancías por carretera";"EL TRANSPORTE DE MERCANCIAS POR CARRETERA.";"Entre 0,6 y 1,5 millones €";"2009: 
2010: 101,94 %
2011: 33,32 %";"Entre 5 y 25";"2004: 80,00 %
2005: 71,42 %
2009: 66,66 %
2010: 80,00 %
2011: 80,00 %";"2004: 20,00 %
2005: 28,57 %
2009: 33,33 %
2010: 20,00 %
2011: 20,00 %";"947505636";"Activa";"-";"-";"-";"NO";"No constan";"72.121,45 €";"5 (año 2011)";"2011";"Negativo Consultar";FALSE
"Editorial Eucos Sl.";"PLAZA JARDINES DE DON DIEGO, 1 - 3 C";41,669812;-3,686187;"12/03/2004";"5811 - Edición de libros";"LA CONFECCION, EDICION, DISTRIBUCION, VENTA Y ALMACENAMIENTO DE TODA CLASE DE LIBROS, IMPRESOS, GUIAS, CATALOGOS Y CUALQUIER DOCUMENTACION REFERENTE A LA EDICION Y EDITORIAL";"Menor de 300 mil €";"2004: ";"-";"Administrador Único:  JULIAN S...";"-";"-";"Activa";"-";"-";"-";"NO";"No constan";"3.010 €";"-";"-";"Negativo Consultar";FALSE
"Martyfer Aranda Sl";"CALLE PEDROTE, 32 - BJ";41,67093193;-3,68241359;"24/02/1999";"6920 - Actividades de contabilidad, teneduría de libros, auditoría y asesoría fiscal";"ASESORIA FISCAL, CONTABLE, LABORAL Y SERVICIOS ADMINISTRATIVOS A EMPRESAS.";"Menor de 300 mil €";"2006: 
2008: 3,36 %
2009: 38,35 %";"Menos de 5";"2004: 100,00 %
2005: 100,00 %
2006: 100,00 %
2008: 66,66 %
2009: 66,66 %";"2004: 0 %
2005: 0 %
2006: 0 %
2008: 33,33 %
2009: 33,33 %";"947502334";"Activa";"-";"-";"-";"NO";"No constan";"24.527,98 €";"3 (año 2009)";"2009";"Positivo Consultar";FALSE
"Geteco Y Proyectos Sl";"CALLE BURGO DE OSMA, 1 - PISO 3 G";41,6691394;-3,69005878;"30/04/2003";"0146 - Explotación de ganado porcino";"LAS PROMOCIONES INMOBILIARIAS. CONSTRUCCION POR CUENTA PROPIA O AJENA DE TODO TIPO DE CONSTRUCCIONES Y EDIFICACIONES. LA COMPRA Y VENTA DE FINCAS, TANTO RUSTICAS COMO URBANAS";"-";"Administrador Único:  MIGUEL C...
Apoderado:  FERNANDO C...";"-";"-";"-";"947500731";"Activa";"-";"-";"-";"NO";"No constan";"12.000 €";"-";"-";"Negativo Consultar";FALSE
"Gades Fenicia Sl";"CALLE SORIA, 67 - 6 F";41,672174;-3,681702;"13/06/2002";"4619 - Intermediarios del comercio de productos diversos";"COMPRAVENTA Y DISTRIBUCION DE TODO TIPO DE PRODUCTOS, ALIMENTICIOS, BEBIDAS, ALCOHOLES, TABACOS.";"Menor de 300 mil €";"2016: 
2017: 502,85 %";"Menos de 5";"2012: 100,00 %
2014: 100,00 %
2016: 100,00 %";"2012: 0 %
2014: 0 %
2016: 0 %";"947504951";"Activa";"-";"-";"-";"NO";"No constan";"3.100 €";"1 (año 2017)";"2017";"Positivo Consultar";FALSE
"Urbanizadora Aranda Sl";"CALLE BAJADA AL MOLINO, 4 - 2";41,66955967;-3,68473994;"08/11/2002";"4110 - Promoción inmobiliaria";"LA EXPLOTACION DE TODO TIPO DE INMUEBLES.TRANSPORTE DE MERCANCIAS, MERCADERIAS Y PRODUCTOS. DELINEACION, MEDICION Y LEVANTAMIENTO DE PLANOS. COMPRAVENTA Y COMERCIALIZACION DE GENEROS TEXTILES, Y PRODUCTOS AGRICOLAS COMER";"-";"Administrador Único:  EDUARDO S...";"-";"-";"-";"947515326";"Activa";"-";"-";"-";"NO";"No constan";"180.000 €";"-";"-";"Positivo Consultar";FALSE
"Construcciones Manpasa S.l.  (extinguida)";"CALLE CANTARES, 3 - PISO 4 B";41,675247;-3,688771;"21/05/1985";"4121 - Construcción de edificios residenciales";"CONSTRUCCION COMPLETA, REPARACION Y CONSERVACION DE TODO TIPO DE OBRAS Y EDIFICACIONES. PRESTACION DE SERVICIOS DE ASISTENCIA Y MANTENIMIENTO INTEGRAL DE VIVIENDAS, COMUNIDADES Y LOCALES COMERCIALES CENTROS PUBLICOS Y PR";"Menor de 300 mil €";"2005: 
2006: 14,69 %
2007: -23,66 %";"Entre 5 y 25";"2003: 100,00 %
2004: 100,00 %
2005: 100,00 %
2006: 100,00 %
2007: 100,00 %";"2003: 0 %
2004: 0 %
2005: 0 %
2006: 0 %
2007: 0 %";"-";"Extinguida";"-";"-";"-";"NO";"No constan";"3.245,47 €";"5 (año 2007)";"2007";"Positivo Consultar";FALSE
"Musical Rodriguez Sl";"CALLE PICOTE, 26 - BAJO";41,6693877;-3,70524395;"19/12/1985";"4644 - Comercio al por mayor de porcelana, cristalería y artículos de limpieza";"VENTA MATERIAL DISCOGRAFICO JUGUETES, LIBROS, INSTRUM. MUSICALES, ART. REGALO. ARTESANIA, MATERIAL INFORMATICO TELECOMUNICAC. OPTICA. ELABORAC. COMERCIO DE VINOS, TABACO, ALIMENTOS. ACT. INMOBILIARIA. CONSTRUC. HOSTELERI";"-";"Administrador Único:  JOSE R...
Apoderado:  ALMUDENA R...";"-";"-";"-";"947512100";"Activa";"http://www.maxocio.es";"-";"-";"NO";"No constan";"144.242,91 €";"-";"-";"Positivo Consultar";FALSE
"Hoya Carrasco Mara";"-";NA;NA;"-";"4775 - Comercio al por menor de productos cosméticos e higiénicos en establecimientos especializados";"-";"-";"-";"-";"-";"-";"-";"Activa";"-";"-";"-";"-";"No constan";"-";"-";"-";"-";FALSE
"Anton Peñacoba Fernando";"-";NA;NA;"-";"4639 - Comercio al por mayor, no especializado, de productos alimenticios, bebidas y tabaco";"-";"-";"-";"-";"-";"-";"-";"Activa";"-";"-";"-";"-";"No constan";"-";"-";"-";"-";FALSE
"Hernandez Motos Pedro";"-";NA;NA;"-";"4781 - Comercio al por menor de productos alimenticios, bebidas y tabaco en puestos de venta y mercadillos";"-";"-";"-";"-";"-";"-";"-";"Activa";"-";"-";"-";"-";"No constan";"-";"-";"-";"-";FALSE
"Sancho Palacios Jose";"-";NA;NA;"-";"7732 - Alquiler de maquinaria y equipo para la construcción e ingeniería civil";"-";"-";"-";"-";"-";"-";"-";"Activa";"-";"-";"-";"-";"No constan";"-";"-";"-";"-";FALSE
"Cantera Manso Rafael";"-";NA;NA;"-";"4941 - Transporte de mercancías por carretera";"-";"-";"-";"-";"-";"-";"-";"Activa";"-";"-";"-";"-";"No constan";"-";"-";"-";"-";FALSE
"Santamaria Garcia Francisco";"-";NA;NA;"-";"7420 - Actividades de fotografía";"-";"-";"-";"-";"-";"-";"-";"Activa";"-";"-";"-";"-";"No constan";"-";"-";"-";"-";FALSE
"Narvaez Toro Nelcy";"-";NA;NA;"-";"5630 - Establecimientos de bebidas";"-";"-";"-";"-";"-";"-";"-";"Activa";"-";"-";"-";"-";"No constan";"-";"-";"-";"-";FALSE
"Sanmiguel Vallelado Hector";"-";NA;NA;"-";"8299 - Otras actividades de apoyo a las empresas n.c.o.p.";"-";"-";"-";"-";"-";"-";"-";"Activa";"-";"-";"-";"-";"No constan";"-";"-";"-";"-";FALSE
"Otero Mate Daniel";"-";NA;NA;"-";"0161 - Actividades de apoyo a la agricultura";"-";"-";"-";"-";"-";"-";"-";"Activa";"-";"-";"-";"-";"No constan";"-";"-";"-";"-";FALSE
"Velasco Luengo Susana";"-";NA;NA;"-";"1399 - Fabricación de otros productos textiles n.c.o.p.";"-";"-";"-";"-";"-";"-";"-";"Activa";"-";"-";"-";"-";"No constan";"-";"-";"-";"-";FALSE
"Zayas Arenales Esther";"-";NA;NA;"-";"4776 - Comercio al por menor de flores, plantas, semillas, fertilizantes, animales de compañía y alimentos para los mismos en establecimientos especializados";"-";"-";"-";"-";"-";"-";"-";"Activa";"-";"-";"-";"-";"No constan";"-";"-";"-";"-";FALSE
"Llorente Escudero Alvaro";"-";NA;NA;"-";"7420 - Actividades de fotografía";"-";"-";"-";"-";"-";"-";"-";"Activa";"-";"-";"-";"-";"No constan";"-";"-";"-";"-";FALSE
"Martin Garcia Sergio";"-";NA;NA;"-";"5813 - Edición de periódicos";"-";"-";"-";"-";"-";"-";"-";"Activa";"-";"-";"-";"-";"No constan";"-";"-";"-";"-";FALSE
"Adrian Cayuela Francisca";"-";NA;NA;"-";"4761 - Comercio al por menor de libros en establecimientos especializados";"-";"-";"-";"-";"-";"-";"-";"Activa";"-";"-";"-";"-";"No constan";"-";"-";"-";"-";FALSE
"Jimenez Borja Eleazar";"-";NA;NA;"-";"5229 - Otras actividades anexas al transporte";"-";"-";"-";"-";"-";"-";"-";"Activa";"-";"-";"-";"-";"No constan";"-";"-";"-";"-";FALSE
"Seisas Salazar Eugenio Ramon";"-";NA;NA;"-";"4532 - Comercio al por menor de repuestos y accesorios de vehículos de motor";"-";"-";"-";"-";"-";"-";"-";"Activa";"-";"-";"-";"-";"No constan";"-";"-";"-";"-";FALSE
"Ureta Lopez Emilio";"-";NA;NA;"-";"4332 - Instalación de carpintería";"se dedica a trabajos de carpinteria y cerrajeria";"-";"-";"Menos de 5";"-";"-";"-";"Activa";"-";"-";"-";"-";"No constan";"-";"1 (año 2012)";"2012";"-";FALSE
"Garcia Garcia Julian";"-";NA;NA;"-";"6832 - Gestión y administración de la propiedad inmobiliaria";"-";"-";"-";"-";"-";"-";"-";"Activa";"-";"-";"-";"-";"No constan";"-";"-";"-";"-";FALSE
"Gaitero Gonzalez Ana Belen";"-";NA;NA;"-";"4771 - Comercio al por menor de prendas de vestir en establecimientos especializados";"VENTA DE COFNECCIONES, ZAPATOS, BOLSOS Y ARTICULOJSD E BISUTERIA.";"-";"-";"-";"-";"-";"-";"Activa";"-";"-";"-";"-";"No constan";"-";"-";"-";"-";FALSE
"Aguilera Regalado Laura";"-";NA;NA;"-";"4771 - Comercio al por menor de prendas de vestir en establecimientos especializados";"-";"-";"-";"-";"-";"-";"-";"Activa";"-";"-";"-";"-";"No constan";"-";"-";"-";"-";FALSE
"Andres San Juan Maria Rosa";"-";NA;NA;"-";"5510 - Hoteles y alojamientos similares";"-";"-";"-";"-";"-";"-";"-";"Activa";"-";"-";"-";"-";"No constan";"-";"-";"-";"-";FALSE
"Llorente Martinez Pedro Pablo";"-";NA;NA;"-";"4334 - Pintura y acristalamiento";"APLICACION DE PINTURAS";"-";"-";"Menos de 5";"-";"-";"-";"Activa";"-";"-";"-";"-";"No constan";"-";"1 (año 2011)";"2011";"-";FALSE
"Arranz Bascones Ramon Lucio";"-";NA;NA;"-";"2370 - Corte, tallado y acabado de la piedra";"Se dedica a un taller de marmol";"-";"-";"Menos de 5";"-";"-";"-";"Activa";"-";"-";"-";"-";"No constan";"-";"2 (año 2011)";"2011";"-";FALSE
"Garrastacho Del Cura Alfonso";"-";NA;NA;"-";"9522 - Reparación de aparatos electrodomésticos y de equipos para el hogar y el jardín";"-";"-";"-";"-";"-";"-";"-";"Activa";"-";"-";"-";"-";"No constan";"-";"-";"-";"-";FALSE
"Adrian Barbero Pilar";"-";NA;NA;"-";"4771 - Comercio al por menor de prendas de vestir en establecimientos especializados";"Venta al detall, de ropa, moda y complementos de señora.";"-";"-";"Menos de 5";"-";"-";"-";"Activa";"-";"-";"-";"-";"No constan";"-";"1 (año 2015)";"2015";"-";FALSE
"Zuñiga Domingo Maria Jesus";"-";NA;NA;"-";"4772 - Comercio al por menor de calzado y artículos de cuero en establecimientos especializados";"-";"-";"-";"-";"-";"-";"-";"Activa";"-";"-";"-";"-";"No constan";"-";"-";"-";"-";FALSE
"Garcia Lucas Francisco Jose";"-";NA;NA;"-";"0119 - Otros cultivos no perennes";"Se dedica al cultivo de cereales";"-";"-";"Menos de 5";"-";"-";"-";"Activa";"-";"-";"-";"-";"No constan";"-";"1 (año 2013)";"2013";"-";FALSE
"Merino Castrillo Santiago";"-";NA;NA;"-";"4321 - Instalaciones eléctricas";"-";"-";"-";"-";"-";"-";"-";"Activa";"-";"-";"-";"-";"No constan";"-";"-";"-";"-";FALSE
"Gonzalez Delgado David";"-";NA;NA;"-";"4725 - Comercio al por menor de bebidas en establecimientos especializados";"-";"-";"-";"-";"-";"-";"-";"Activa";"-";"-";"-";"-";"No constan";"-";"-";"-";"-";FALSE
"Sampil Aranda Sl.";"CALLE LA SAL, 3 - BJ";41,67070109;-3,68962753;"13/03/2018";"4643 - Comercio al por mayor de aparatos electrodomésticos";"Comercio de aparatos electrodomésticos y ferretería. Cerrajería. CNAE número 4643";"Menor de 300 mil €";"2018: ";"Menos de 5";"2018: 100,00 %";"2018: 0 %";"-";"Activa";"-";"-";"-";"NO";"No constan";"3.000 €";"1 (año 2018)";"2018";"Positivo Consultar";FALSE
"Ays Rojas Lavin Sl.";"AVENIDA MIRANDA DO DOURO, 4 - BJ";41,6681129;-3,68760124;"22/03/2018";"6622 - Actividades de agentes y corredores de seguros";"Agente de seguros exclusivo";"Menor de 300 mil €";"2018: 
2019: 276,44 %";"-";"Administrador Solidario:  SUSANA L...
 ALBERTO G...:  SUSANA L...";"Administrador Solidario: Administrador Solidario
 ALBERTO G...: Administrador Solidario";"-";"Activa";"-";"-";"-";"NO";"No constan";"3.000 €";"-";"-";"Positivo Consultar";FALSE
"Angel Sanz Arranz Y Otro Sc";"CALLE PICOTE, 2";41,67177221;-3,70578589;"01/01/1988";"2599 - Fabricación de otros productos metálicos n.c.o.p.";"-";"-";"Administrador:  ANGEL S...
Administrador:  JOSE FELIX M...";"Menos de 5";"-";"-";"947507638";"Activa";"-";"-";"-";"NO";"No constan";"-";"4 (año 1997)";"1997";"-";FALSE
"La Cupula Del Trueno S.c.";"PLAZA MAYOR, 12 - 2 B";41,67020797;-3,68829259;"01/01/2019";"7311 - Agencias de publicidad";"-";"-";"-";"-";"-";"-";"-";"Activa";"-";"-";"-";"NO";"No constan";"-";"-";"-";"-";FALSE
"Lopez Rojo Fermin Y Pedro Alvaro Sc";"CALLE SANTO DOMINGO, 9";41,66776504;-3,69175157;"01/01/1991";"4631 - Comercio al por mayor de frutas y hortalizas";"VENTA AL POR MAYOR DE FRUTAS Y VERDURAS";"-";"Administrador:  FERMIN L...
Administrador:  PEDRO A...";"Menos de 5";"-";"-";"947509075";"Activa";"-";"-";"-";"NO";"No constan";"-";"1 (año 1994)";"1994";"-";FALSE
"Baglantzis Alexandra Marina";"-";NA;NA;"-";"1071 - Fabricación de pan y de productos frescos de panadería y pastelería";"-";"-";"-";"-";"-";"-";"-";"Activa";"-";"-";"-";"-";"No constan";"-";"-";"-";"-";FALSE
"Ticala Ioan";"-";NA;NA;"-";"4339 - Otras actividades de acabado de edificios";"-";"-";"-";"-";"-";"-";"-";"Activa";"-";"-";"-";"-";"No constan";"-";"-";"-";"-";FALSE
"Cristhian Herrera Y Nelcy Narvaez S.c.";"CALLE SANTA CATALINA, 1 - 1 A";41,67250686;-3,68120527;"01/01/2013";"5630 - Establecimientos de bebidas";"-";"-";"-";"-";"-";"-";"-";"Activa";"-";"-";"-";"NO";"No constan";"-";"-";"-";"-";FALSE
"Anacleto Alonso Diez Y Otro S.c.";"CARRETERA QUINTANA";41,679609;-3,704863;"11/03/2004";"0147 - Avicultura";"-";"-";"-";"Menos de 5";"-";"-";"947545014";"Activa";"-";"-";"-";"NO";"No constan";"-";"2 (año 2004)";"2004";"-";FALSE
"Qaisar Usman";"-";NA;NA;"-";"5630 - Establecimientos de bebidas";"-";"-";"-";"-";"-";"-";"-";"Activa";"-";"-";"-";"-";"No constan";"-";"-";"-";"-";FALSE
"Hermanos Muñoz Rojo S.c.";"CALLE SANTIAGO, 13 - 6 C";41,67262699;-3,67821532;"01/01/2013";"6820 - Alquiler de bienes inmobiliarios por cuenta propia";"-";"-";"-";"-";"-";"-";"-";"Activa";"-";"-";"-";"NO";"No constan";"-";"-";"-";"-";FALSE
"Parque Empresarial Y Comercial Castilla S.c.";"CALLE BEMPOSTA, 138 - 138 R";41,670268;-3,706785;"01/01/2013";"6820 - Alquiler de bienes inmobiliarios por cuenta propia";"-";"-";"-";"-";"-";"-";"-";"Activa";"-";"-";"-";"NO";"No constan";"-";"-";"-";"-";FALSE
"Montes Gabriel Ana Belen Y Otra S.c.";"CARRETERA PALENCIA, 2800";41,673066;-3,693501;"01/01/2013";"8510 - Educación preprimaria";"-";"-";"-";"-";"-";"-";"-";"Activa";"-";"-";"-";"NO";"No constan";"-";"-";"-";"-";FALSE
"Cafe Habana S.c.";"AVENIDA CASTILLA, 15";41,65532178;-3,69251379;"01/01/2013";"5630 - Establecimientos de bebidas";"-";"-";"-";"-";"-";"-";"-";"Activa";"-";"-";"-";"NO";"No constan";"-";"-";"-";"-";FALSE
"Feliz Mejia Michel Yazmin";"-";NA;NA;"-";"4789 - Comercio al por menor de otros productos en puestos de venta y mercadillos";"-";"-";"-";"-";"-";"-";"-";"Activa";"-";"-";"-";"-";"No constan";"-";"-";"-";"-";FALSE
"Tapillas S.c.";"PLAZA SANTA MARIA, 3";41,671205;-3,6895;"01/01/2013";"5630 - Establecimientos de bebidas";"-";"-";"-";"-";"-";"-";"-";"Activa";"-";"-";"-";"NO";"No constan";"-";"-";"-";"-";FALSE
"Maquiavelo S.c.";"CALLE HOSPICIO, 1";41,6719524;-3,68164505;"01/01/2013";"5610 - Restaurantes y puestos de comidas";"-";"-";"-";"-";"-";"-";"-";"Activa";"-";"-";"-";"NO";"No constan";"-";"-";"-";"-";FALSE
"Ana Marta Rojo Lara Y Otro S.c.";"CARRETERA SINOVAS, 3 - BJ J";41,70100002;-3,66319722;"01/01/2013";"4634 - Comercio al por mayor de bebidas";"-";"-";"-";"-";"-";"-";"-";"Activa";"-";"-";"-";"NO";"No constan";"-";"-";"-";"-";FALSE
"Bordados S.c.";"CALLE PRADO MARINA, 9 - BJ 2";41,670436;-3,68778;"01/01/2013";"4751 - Comercio al por menor de textiles en establecimientos especializados";"-";"-";"-";"-";"-";"-";"-";"Activa";"-";"-";"-";"NO";"No constan";"-";"-";"-";"-";FALSE
"Vinos De Lagar S.c.";"TRAVESIA SAN ISIDRO, 1 - 4 B";41,67644354;-3,68490405;"01/01/2013";"7120 - Ensayos y análisis técnicos";"-";"-";"-";"-";"-";"-";"-";"Activa";"-";"-";"-";"NO";"No constan";"-";"-";"-";"-";FALSE
"Ibacon Automocion S.c.";"AVENIDA LUIS MATEOS, 94";41,664767;-3,704617;"01/01/2013";"4520 - Mantenimiento y reparación de vehículos de motor";"-";"-";"-";"-";"-";"-";"-";"Activa";"-";"-";"-";"NO";"No constan";"-";"-";"-";"-";FALSE
"Servicios Agricolas Angel Y Raul S.c.";"CALLE NUÑO RASURA, 1 - 2 G";41,67000351;-3,67760845;"01/01/2013";"0161 - Actividades de apoyo a la agricultura";"-";"-";"-";"-";"-";"-";"-";"Activa";"-";"-";"-";"NO";"No constan";"-";"-";"-";"-";FALSE
